City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,17.68,87,100,6.26,NZ,1712796394
1,trenton,40.217,-74.7429,18.18,74,75,2.57,US,1712796376
2,howrah,22.5892,88.3103,26.0,83,75,0.0,IN,1712796071
3,adamstown,-25.066,-130.1015,22.19,88,100,9.48,PN,1712796393
4,jamestown,42.097,-79.2353,14.8,51,100,1.54,US,1712796162
5,tandil,-37.3217,-59.1332,6.49,68,15,2.36,AR,1712796055
6,anna regina,7.2644,-58.5077,26.36,85,17,4.23,GY,1712796454
7,west island,-12.1568,96.8225,26.99,74,40,4.63,CC,1712796455
8,grytviken,-54.2811,-36.5092,0.94,89,26,5.84,GS,1712796455
9,orange,33.7,-117.7675,30.49,37,0,3.09,US,1712795831
10,lompoc,34.6391,-120.4579,25.08,71,0,5.66,US,1712796456
11,shijiazhuang,38.0414,114.4786,12.92,49,0,0.76,CN,1712796456
12,petropavlovsk-kamchatsky,53.0452,158.6483,3.76,70,20,16.09,RU,1712796457
13,rongelap,11.1635,166.8941,26.77,78,100,10.4,MH,1712796457
14,masterton,-40.9597,175.6575,22.28,40,100,5.85,NZ,1712796457
15,samana,19.2056,-69.3369,22.94,75,1,4.35,DO,1712796458
16,sinabang,2.4803,96.3801,27.56,80,100,1.08,ID,1712796415
17,whitehorse,60.7161,-135.0538,8.43,31,75,7.72,CA,1712795714
18,lorengau,-2.0226,147.2712,27.94,79,100,2.18,PG,1712796459
19,bomadi,5.1593,5.9252,26.13,88,100,1.64,NG,1712796459
20,bethel,41.3712,-73.414,14.67,79,100,2.57,US,1712796459
21,bredasdorp,-34.5322,20.0403,14.8,67,23,5.74,ZA,1712795927
22,kapa'a,22.0752,-159.319,28.99,64,0,4.63,US,1712796460
23,nemuro,43.3236,145.575,5.12,65,5,4.5,JP,1712796068
24,bilibino,68.0546,166.4372,-12.18,75,10,0.9,RU,1712796395
25,coxen hole,16.3244,-86.5366,28.6,79,100,12.35,HN,1712796258
26,greenville,35.6127,-77.3663,22.02,66,0,4.63,US,1712795916
27,san patricio,28.017,-97.5169,25.97,42,0,7.26,US,1712795993
28,villa huidobro,-34.8383,-64.5869,9.19,84,100,0.24,AR,1712796462
29,valparaiso,-33.0393,-71.6273,16.67,61,100,1.54,CL,1712796204
30,la mira,18.035,-102.3266,24.67,70,29,4.28,MX,1712796463
31,jalqani,12.4486,34.2186,27.53,11,6,3.86,SD,1712796463
32,uturoa,-16.7333,-151.4333,28.96,78,25,8.08,PF,1712796464
33,punta arenas,-53.15,-70.9167,7.06,76,40,8.23,CL,1712796118
34,atafu village,-8.5421,-172.5159,29.97,73,78,4.22,TK,1712796331
35,toliara,-23.35,43.6667,24.99,86,75,3.65,MG,1712796204
36,lata,40.1629,-8.3327,12.73,80,100,1.75,PT,1712796465
37,nakamura,32.9833,132.9333,17.06,72,100,4.22,JP,1712796466
38,port moresby,-9.4431,147.1797,29.68,74,75,2.06,PG,1712796305
39,keflavik,64.0049,-22.5624,4.24,75,0,7.2,IS,1712796466
40,jiuquan,39.7432,98.5174,11.59,37,5,2.94,CN,1712796467
41,gulu,2.7746,32.299,19.91,81,27,1.92,UG,1712796467
42,thompson,55.7435,-97.8558,9.09,49,100,4.63,CA,1712796002
43,ushuaia,-54.8,-68.3,6.81,76,20,7.2,AR,1712796468
44,ponta delgada,37.7333,-25.6667,18.44,88,75,5.66,PT,1712796468
45,badger,64.8,-147.5333,6.93,33,20,0.0,US,1712796468
46,puerto natales,-51.7236,-72.4875,2.86,91,9,2.51,CL,1712796301
47,ryotsu-minato,38.0833,138.4333,13.2,53,100,1.81,JP,1712796469
48,blackmans bay,-43.0167,147.3167,16.4,59,40,0.89,AU,1712796470
49,guiyang,26.5833,106.7167,15.27,100,100,2.0,CN,1712796470
50,edinburgh of the seven seas,-37.0676,-12.3116,17.79,81,100,1.75,SH,1712796394
51,myrina,39.8797,25.0742,12.58,71,0,0.0,GR,1712796471
52,khovd,48.0056,91.6419,6.51,41,100,1.65,MN,1712796471
53,aktanysh,55.7216,54.0829,5.38,85,17,1.4,RU,1712796472
54,mount pearl,47.5166,-52.7813,-0.48,79,100,4.63,CA,1712796472
55,georgetown,5.4112,100.3354,27.19,83,20,1.54,MY,1712795922
56,smara,26.7384,-11.6719,30.11,16,0,7.61,EH,1712796473
57,sidney,-33.8679,151.2073,21.87,56,75,6.69,AU,1712796225
58,letterkenny,54.95,-7.7333,11.32,89,100,7.48,IE,1712796474
59,palikir - national government center,6.9248,158.1611,29.47,89,100,7.2,FM,1712795999
60,sisimiut,66.9395,-53.6735,-6.36,78,100,2.52,GL,1712796475
61,labrador city,52.9463,-66.9114,-0.05,42,0,2.57,CA,1712795996
62,luderitz,-26.6481,15.1594,21.25,50,0,4.94,NA,1712796475
63,sitka,57.0531,-135.33,3.94,87,100,9.26,US,1712795736
64,dudinka,69.4058,86.1778,-31.85,100,100,1.34,RU,1712796476
65,takoradi,4.8845,-1.7554,27.58,83,100,1.87,GH,1712796476
66,tura,25.5198,90.2201,25.37,33,100,1.26,IN,1712796477
67,hawaiian paradise park,19.5933,-154.9731,26.04,74,75,3.6,US,1712796477
68,avarua,-21.2078,-159.775,28.03,89,75,9.26,CK,1712796478
69,buta,2.7858,24.73,21.22,69,90,1.02,CD,1712796478
70,abidjan,5.3094,-4.0197,28.98,84,40,4.63,CI,1712796479
71,port elizabeth,-33.918,25.5701,13.51,87,0,2.57,ZA,1712796445
72,hasaki,35.7333,140.8333,17.94,56,100,3.73,JP,1712796479
73,novodvinsk,64.4165,40.8122,5.99,100,100,5.41,RU,1712796480
74,belyy yar,53.6039,91.3903,3.94,81,40,3.0,RU,1712796480
75,st. john's,47.5649,-52.7093,-0.02,79,100,4.63,CA,1712795757
76,serenje,-13.2325,30.2352,18.37,92,100,1.07,ZM,1712796481
77,ilulissat,69.2167,-51.1,-7.99,62,100,0.0,GL,1712796481
78,maun,-19.9833,23.4167,18.72,41,57,2.67,BW,1712796482
79,tshabong,-26.05,22.45,16.74,40,0,3.07,BW,1712796482
80,college,64.8569,-147.8028,6.97,33,20,0.0,US,1712796422
81,marki,52.3206,21.1047,12.94,64,0,4.63,PL,1712796483
82,wotje,9.4543,170.2367,27.0,78,86,9.81,MH,1712796483
83,vilyuchinsk,52.9306,158.4028,4.58,74,52,17.47,RU,1712795921
84,broken hill,-31.95,141.4333,16.19,54,0,5.64,AU,1712796212
85,nenjiang,49.1833,125.2167,10.18,38,0,1.2,CN,1712796484
86,port-aux-francais,-49.35,70.2167,7.04,95,100,6.71,TF,1712796402
87,puerto ayora,-0.7393,-90.3518,25.31,99,65,2.34,EC,1712796397
88,hilo,19.7297,-155.09,27.38,66,75,3.6,US,1712796289
89,nuku'alofa,-21.1333,-175.2,29.19,74,40,7.47,TO,1712796404
90,buon ma thuot,12.6667,108.05,26.77,61,3,3.13,VN,1712796341
91,olonkinbyen,70.9221,-8.7187,-6.99,72,100,5.52,SJ,1712795963
92,puerto leguizamo,-0.1934,-74.7819,24.41,91,44,1.97,CO,1712796487
93,severnoye,56.3491,78.3619,-5.01,88,100,3.13,RU,1712796488
94,ta`u,-14.2336,-169.5144,29.18,77,33,4.09,AS,1712796488
95,romodanovo,54.4275,45.3296,9.49,86,76,2.44,RU,1712796488
96,zouerate,22.7187,-12.4521,27.36,11,0,0.79,MR,1712796489
97,kununurra,-15.7667,128.7333,26.99,41,52,6.17,AU,1712796297
98,albany,42.6001,-73.9662,12.04,92,100,1.09,US,1712796346
99,ji'an,27.1172,114.9793,19.81,89,100,1.01,CN,1712796490
100,kapuskasing,49.4169,-82.4331,11.05,58,40,1.54,CA,1712795976
101,nantucket,41.2835,-70.0995,9.45,93,75,7.2,US,1712796448
102,rio claro,-22.4114,-47.5614,21.49,77,25,0.74,BR,1712796491
103,semirom,31.4167,51.5667,5.74,66,0,8.63,IR,1712796491
104,kerikeri,-35.2268,173.9474,21.06,93,100,7.96,NZ,1712796292
105,koryazhma,61.3143,47.1691,3.84,88,100,5.1,RU,1712796492
106,igarka,67.4667,86.5833,-26.64,97,40,4.04,RU,1712796492
